event_id	doc	fmt	gender	stage	stage_id	duration	start	a_id	b_id	x_id	y_id	res_a	res_x	scores
2740	TTEWSINGLES-----------FNL-000100----------	S	W	FNL	000100	1828	2023-09-09 10:10:00	119542		134790		3	0	11-8,11-9,11-9
2740	TTEXDOUBLES-----------FNL-000100----------	D	X	FNL	000100	1155	2023-09-08 12:40:00	204288	136403	137238	144628	0	3	7-11,7-11,4-11
2740	TTEMSINGLES-----------FNL-000100----------	S	M	FNL	000100	1317	2023-09-09 10:45:00	117113		137238		3	0	11-8,11-8,11-7
2740	TTEMDOUBLES-----------FNL-000100----------	D	M	FNL	000100	2290	2023-09-09 09:35:00	204288	135920	120850	123962	3	1	11-7,9-11,13-11,11-9
2740	TTEWDOUBLES-----------FNL-000100----------	D	W	FNL	000100	2069	2023-09-09 09:00:00	133901	200907	136403	144628	1	3	11-13,11-6,8-11,8-11
2740	TTEXDOUBLES-----------SFNL000200----------	D	X	SFNL	000200	1024	2023-09-08 03:00:00	132696	119089	137238	144628	0	3	5-11,6-11,4-11
2740	TTEWDOUBLES-----------SFNL000100----------	D	W	SFNL	000100	2126	2023-09-08 08:00:00	137465	203618	133901	200907	1	3	11-9,7-11,8-11,9-11
2740	TTEXDOUBLES-----------SFNL000100----------	D	X	SFNL	000100	1953	2023-09-08 03:35:00	204288	136403	119850	121523	3	1	15-13,11-2,9-11,11-6
2740	TTEWDOUBLES-----------SFNL000200----------	D	W	SFNL	000200	0	2023-09-08 08:35:00	202345	201438	136403	144628	0	3	3-11,6-11,9-11
2740	TTEWSINGLES-----------SFNL000200----------	S	W	SFNL	000200	2613	2023-09-09 04:35:00	136403		134790		1	3	7-11,13-11,9-11,10-12
2740	TTEMDOUBLES-----------SFNL000100----------	D	M	SFNL	000100	1498	2023-09-08 09:10:00	133867	132325	204288	135920	0	3	8-11,4-11,9-11
2740	TTEMSINGLES-----------SFNL000100----------	S	M	SFNL	000100	3407	2023-09-09 05:10:00	120850		117113		2	3	11-4,13-15,11-6,4-11,18-20
2740	TTEMSINGLES-----------SFNL000200----------	S	M	SFNL	000200	1721	2023-09-09 05:45:00	137238		203067		3	0	13-11,11-9,11-8
2740	TTEWSINGLES-----------SFNL000100----------	S	W	SFNL	000100	2946	2023-09-09 04:00:00	119542		137465		3	2	6-11,11-7,11-9,8-11,12-10
2740	TTEMDOUBLES-----------SFNL000200----------	D	M	SFNL	000200	1619	2023-09-08 09:45:00	120850	123962	117113	134317	3	1	6-11,11-5,11-6,11-7
2740	TTEWSINGLES-----------QFNL000400----------	S	W	QFNL	000400	1520	2023-09-08 04:10:00	134790		115789		3	0	11-9,11-3,11-9
2740	TTEWDOUBLES-----------QFNL000200----------	D	W	QFNL	000200	2005	2023-09-07 10:00:00	133901	200907	132318	116152	3	1	9-11,12-10,11-6,11-7
2740	TTEMSINGLES-----------QFNL000100----------	S	M	QFNL	000100	2006	2023-09-08 05:20:00	120850		134316		3	1	11-7,11-7,10-12,11-7
2740	TTEMDOUBLES-----------QFNL000200----------	D	M	QFNL	000200	1239	2023-09-07 10:35:00	204288	135920	202957	120929	3	0	11-2,11-5,12-10
2740	TTEWDOUBLES-----------QFNL000300----------	D	W	QFNL	000300	1869	2023-09-07 10:00:00	202345	201438	135373	119285	3	1	3-11,11-5,11-8,12-10
2740	TTEXDOUBLES-----------QFNL000300----------	D	X	QFNL	000300	2255	2023-09-07 03:00:00	203067	133901	132696	119089	2	3	12-10,4-11,11-7,7-11,5-11
