event_id	doc	fmt	gender	stage	stage_id	duration	start	a_id	b_id	x_id	y_id	res_a	res_x	scores
2540	TTEWDOUBLES-----------FNL-000100----------	D	W	FNL	000100	1255	2022-06-26 14:02:32	115543	123505	119537	132907	3	0	11-2,11-7,11-8
2540	TTEMDOUBLES-----------FNL-000100----------	D	M	FNL	000100	2407	2022-06-26 14:32:42	114936	123971	135888	137237	3	2	11-6,10-12,4-11,12-10,11-8
2540	TTEMSINGLES-----------FNL-000100----------	S	M	FNL	000100	4221	2022-06-26 16:21:17	114936		135888		4	3	12-10,11-6,8-11,8-11,12-10,12-14,11-2
2540	TTEXDOUBLES-----------FNL-000100----------	D	X	FNL	000100	1970	2022-06-25 17:04:22	123971	133814	137237	135049	1	3	11-7,10-12,6-11,9-11
2540	TTEWSINGLES-----------FNL-000100----------	S	W	FNL	000100	3268	2022-06-26 15:20:30	117820		135179		4	1	12-10,11-7,9-11,11-9,12-10
2540	TTEWDOUBLES-----------SFNL000100----------	D	W	SFNL	000100	2712	2022-06-25 08:51:30	105913	100868	115543	123505	2	3	5-11,12-10,10-12,11-8,5-11
2540	TTEXDOUBLES-----------SFNL000200----------	D	X	SFNL	000200	2066	2022-06-25 08:00:37	114936	118994	137237	135049	1	3	9-11,11-6,10-12,3-11
2540	TTEWSINGLES-----------SFNL000200----------	S	W	SFNL	000200	3082	2022-06-26 09:01:04	135179		135049		4	1	11-8,11-9,11-9,4-11,14-12
2540	TTEWDOUBLES-----------SFNL000200----------	D	W	SFNL	000200	1683	2022-06-25 08:51:40	105159	115037	119537	132907	0	3	14-16,8-11,5-11
2540	TTEXDOUBLES-----------SFNL000100----------	D	X	SFNL	000100	1222	2022-06-25 08:00:09	123971	133814	107445	100868	3	0	12-10,11-5,11-9
2540	TTEMSINGLES-----------SFNL000200----------	S	M	SFNL	000200	1561	2022-06-26 10:34:24	137237		135888		0	4	7-11,6-11,9-11,9-11
2540	TTEMDOUBLES-----------SFNL000200----------	D	M	SFNL	000200	2602	2022-06-25 09:27:40	135888	137237	119284	121514	3	2	8-11,13-11,11-4,9-11,12-10
2540	TTEMDOUBLES-----------SFNL000100----------	D	M	SFNL	000100	1147	2022-06-25 09:41:48	114936	123971	133867	112620	3	0	11-6,11-6,11-9
2540	TTEMSINGLES-----------SFNL000100----------	S	M	SFNL	000100	1796	2022-06-26 09:59:42	110726		114936		0	4	8-11,7-11,9-11,3-11
2540	TTEWSINGLES-----------SFNL000100----------	S	W	SFNL	000100	3229	2022-06-26 08:02:36	144628		117820		1	4	8-11,8-11,11-8,5-11,10-12
2540	TTEWDOUBLES-----------QFNL000300----------	D	W	QFNL	000300	1795	2022-06-24 15:48:49	119089	119285	105159	115037	1	3	11-8,7-11,2-11,7-11
2540	TTEMSINGLES-----------QFNL000400----------	S	M	QFNL	000400	1899	2022-06-25 16:25:50	135888		119284		4	0	11-7,12-10,11-3,11-9
2540	TTEMSINGLES-----------QFNL000300----------	S	M	QFNL	000300	2211	2022-06-25 15:43:45	121514		137237		1	4	7-11,3-11,5-11,11-8,10-12
2540	TTEWDOUBLES-----------QFNL000400----------	D	W	QFNL	000400	1353	2022-06-24 14:53:02	119537	132907	107525	111213	3	1	5-11,11-8,11-2,11-5
2540	TTEWSINGLES-----------QFNL000200----------	S	W	QFNL	000200	3819	2022-06-25 10:52:44	123113		117820		3	4	3-11,11-9,5-11,11-5,1-11,11-3,6-11
2540	TTEXDOUBLES-----------QFNL000200----------	D	X	QFNL	000200	1330	2022-06-24 07:59:51	107445	100868	121869	121715	3	1	11-7,11-5,4-11,11-7
2540	TTEWDOUBLES-----------QFNL000200----------	D	W	QFNL	000200	974	2022-06-24 15:09:18	115543	123505	114517	123535	3	0	11-3,11-5,11-4
2540	TTEMSINGLES-----------QFNL000100----------	S	M	QFNL	000100	0	2022-06-25 12:58:20	120154		110726		3	4	11-8,10-12,11-7,11-5,7-11,7-11,10-12
2540	TTEWSINGLES-----------QFNL000400----------	S	W	QFNL	000400	1864	2022-06-25 14:14:07	115454		135049		1	4	8-11,6-11,2-11,11-3,3-11
2540	TTEWDOUBLES-----------QFNL000100----------	D	W	QFNL	000100	2006	2022-06-24 15:34:07	105913	100868	132132	135049	3	1	11-7,6-11,11-7,13-11
2540	TTEMDOUBLES-----------QFNL000300----------	D	M	QFNL	000300	1274	2022-06-24 16:12:11	115546	131983	135888	137237	0	3	5-11,6-11,10-12
2540	TTEMSINGLES-----------QFNL000200----------	S	M	QFNL	000200	2873	2022-06-25 12:02:11	114936		131671		4	1	9-11,11-9,12-10,12-10,11-5
2540	TTEWSINGLES-----------QFNL000300----------	S	W	QFNL	000300	2860	2022-06-25 14:50:47	135179		119285		4	1	11-9,10-12,11-4,11-3,11-3
2540	TTEMDOUBLES-----------QFNL000100----------	D	M	QFNL	000100	2348	2022-06-24 15:32:53	114936	123971	117113	133694	3	2	11-8,2-11,11-6,6-11,11-8
2540	TTEXDOUBLES-----------QFNL000400----------	D	X	QFNL	000400	936	2022-06-24 08:01:10	137237	135049	131211	120979	3	0	11-7,11-2,11-7
2540	TTEMDOUBLES-----------QFNL000400----------	D	M	QFNL	000400	1665	2022-06-24 15:24:24	120850	134442	119284	121514	0	3	9-11,9-11,5-11
2540	TTEWSINGLES-----------QFNL000100----------	S	W	QFNL	000100	2408	2022-06-25 10:06:56	144628		136711		4	0	11-8,11-4,11-6,11-8
2540	TTEMDOUBLES-----------QFNL000200----------	D	M	QFNL	000200	1755	2022-06-24 16:23:01	133867	112620	114718	121684	3	1	11-6,11-8,10-12,11-4
2540	TTEXDOUBLES-----------QFNL000100----------	D	X	QFNL	000100	1538	2022-06-24 08:01:06	112620	115543	123971	133814	1	3	4-11,11-5,6-11,6-11
2540	TTEXDOUBLES-----------QFNL000300----------	D	X	QFNL	000300	1637	2022-06-24 08:00:46	121565	119089	114936	118994	1	3	5-11,11-9,5-11,11-13
2540	TTEWDOUBLES-----------8FNL000800----------	D	W	8FNL	000800	1063	2022-06-23 17:20:12	121040	121041	107525	111213	0	3	8-11,7-11,6-11
2540	TTEMDOUBLES-----------8FNL000100----------	D	M	8FNL	000100	1593	2022-06-23 12:12:09	114936	123971	131756	123659	3	1	11-7,11-9,7-11,11-5
2540	TTEMSINGLES-----------8FNL000300----------	S	M	8FNL	000300	3560	2022-06-24 18:12:20	114936		104036		4	2	11-6,11-13,5-11,12-10,11-7,11-9
2540	TTEMSINGLES-----------8FNL000200----------	S	M	8FNL	000200	2784	2022-06-24 17:24:00	112035		110726		1	4	9-11,8-11,11-9,9-11,8-11
2540	TTEMSINGLES-----------8FNL000100----------	S	M	8FNL	000100	1868	2022-06-24 18:18:33	120154		116680		4	0	11-2,11-7,11-9,12-10
2540	TTEWDOUBLES-----------8FNL000300----------	D	W	8FNL	000300	2394	2022-06-23 16:53:32	115543	123505	132702	123972	3	2	11-5,6-11,9-11,11-6,14-12
2540	TTEWSINGLES-----------8FNL000200----------	S	W	8FNL	000200	2187	2022-06-24 17:31:25	136711		105159		4	0	11-9,11-8,11-9,11-8
2540	TTEXDOUBLES-----------8FNL000400----------	D	X	8FNL	000400	2217	2022-06-23 08:01:31	122122	113587	121869	121715	2	3	11-8,11-8,6-11,11-13,8-11
2540	TTEWSINGLES-----------8FNL000400----------	S	W	8FNL	000400	1656	2022-06-24 16:01:59	123519		117820		0	4	9-11,3-11,7-11,2-11
2540	TTEXDOUBLES-----------8FNL000500----------	D	X	8FNL	000500	2481	2022-06-23 08:02:46	115545	105159	121565	119089	2	3	11-3,8-11,14-12,4-11,9-11
2540	TTEWSINGLES-----------8FNL000700----------	S	W	8FNL	000700	2358	2022-06-24 16:33:57	107525		115454		1	4	11-9,3-11,6-11,7-11,9-11
2540	TTEWDOUBLES-----------8FNL000400----------	D	W	8FNL	000400	1556	2022-06-23 16:27:44	114517	123535	131765	114429	3	1	11-4,5-11,11-6,12-10
2540	TTEMSINGLES-----------8FNL000500----------	S	M	8FNL	000500	2826	2022-06-24 19:16:24	121514		123971		4	3	7-11,3-11,11-7,11-7,11-6,6-11,11-5
2540	TTEXDOUBLES-----------8FNL000100----------	D	X	8FNL	000100	981	2022-06-23 08:00:41	112620	115543	131589	131480	3	0	11-7,11-3,13-11
2540	TTEMDOUBLES-----------8FNL000400----------	D	M	8FNL	000400	2339	2022-06-23 12:28:30	114718	121684	120300	113914	3	2	8-11,14-12,7-11,11-5,11-8
2540	TTEWSINGLES-----------8FNL000300----------	S	W	8FNL	000300	1669	2022-06-24 17:44:18	100868		123113		0	4	6-11,2-11,6-11,6-11
2540	TTEWDOUBLES-----------8FNL000700----------	D	W	8FNL	000700	2471	2022-06-23 17:00:55	137465	133529	119537	132907	2	3	9-11,11-4,7-11,11-8,7-11
