event_id	doc	fmt	gender	stage	stage_id	duration	start	a_id	b_id	x_id	y_id	res_a	res_x	scores
2484	TTEWDOUBLES-----------FNL-000100----------	D	W	FNL	000100	2190	2021-09-19 09:22:38	114947	118685	132907	133592	3	2	10-12,11-4,11-6,9-11,11-6
2484	TTEWSINGLES-----------FNL-000100----------	S	W	FNL	000100	2786	2021-09-19 10:42:16	131140		114947		2	4	7-11,12-10,11-9,9-11,5-11,6-11
2484	TTEXDOUBLES-----------FNL-000100----------	D	X	FNL	000100	1026	2021-09-18 13:42:45	136044	114947	200312	134643	3	0	11-2,11-5,11-9
2484	TTEMDOUBLES-----------FNL-000100----------	D	M	FNL	000100	1146	2021-09-19 10:07:58	115118	113376	117890	137568	0	3	6-11,8-11,4-11
2484	TTEMSINGLES-----------FNL-000100----------	S	M	FNL	000100	1949	2021-09-19 11:36:34	117890		123680		4	1	11-6,11-9,11-3,9-11,11-6
2484	TTEMSINGLES-----------SFNL000100----------	S	M	SFNL	000100	1377	2021-09-19 04:51:57	117890		100302		4	0	11-5,11-6,11-6,11-6
2484	TTEMDOUBLES-----------SFNL000200----------	D	M	SFNL	000200	2038	2021-09-18 12:30:11	117350	123680	117890	137568	2	3	11-8,2-11,6-11,12-10,5-11
2484	TTEMSINGLES-----------SFNL000200----------	S	M	SFNL	000200	1767	2021-09-19 06:32:25	123680		107456		4	1	11-5,11-3,11-5,6-11,11-8
2484	TTEWDOUBLES-----------SFNL000100----------	D	W	SFNL	000100	1151	2021-09-18 11:50:36	114947	118685	123228	133113	3	0	11-9,11-7,12-10
2484	TTEXDOUBLES-----------SFNL000200----------	D	X	SFNL	000200	1509	2021-09-18 10:40:10	200312	134643	114999	132875	3	1	11-6,11-6,8-11,11-6
2484	TTEWSINGLES-----------SFNL000100----------	S	W	SFNL	000100	2242	2021-09-19 04:02:10	131140		118685		4	1	11-8,11-9,6-11,11-7,11-9
2484	TTEWSINGLES-----------SFNL000200----------	S	W	SFNL	000200	2066	2021-09-19 05:40:39	119545		114947		1	4	11-8,3-11,6-11,7-11,8-11
2484	TTEWDOUBLES-----------SFNL000200----------	D	W	SFNL	000200	1666	2021-09-18 11:50:30	132875	145015	132907	133592	1	3	7-11,3-11,11-8,11-13
2484	TTEMDOUBLES-----------SFNL000100----------	D	M	SFNL	000100	921	2021-09-18 12:30:15	115118	113376	116758	123221	3	0	11-8,11-8,11-3
2484	TTEXDOUBLES-----------SFNL000100----------	D	X	SFNL	000100	924	2021-09-18 10:40:18	136044	114947	119546	200322	3	0	11-5,11-1,11-6
2484	TTEWDOUBLES-----------QFNL000300----------	D	W	QFNL	000300	1187	2021-09-18 03:59:49	132875	145015	119545	133134	3	0	11-7,11-8,11-6
2484	TTEWSINGLES-----------QFNL000300----------	S	W	QFNL	000300	5262	2021-09-18 06:09:49	131371		119545		3	4	11-8,11-7,9-11,11-6,4-11,6-11,6-11
2484	TTEMDOUBLES-----------QFNL000100----------	D	M	QFNL	000100	1152	2021-09-18 04:40:31	115118	113376	114999	132870	3	0	13-11,11-5,11-8
2484	TTEMSINGLES-----------QFNL000300----------	S	M	QFNL	000300	2497	2021-09-18 09:23:06	113376		123680		2	4	9-11,8-11,11-6,11-7,6-11,3-11
2484	TTEWSINGLES-----------QFNL000200----------	S	W	QFNL	000200	1653	2021-09-18 05:25:41	133592		118685		0	4	8-11,9-11,9-11,4-11
2484	TTEWSINGLES-----------QFNL000400----------	S	W	QFNL	000400	2763	2021-09-18 06:09:44	114947		132907		4	2	11-8,11-9,8-11,11-8,8-11,11-5
2484	TTEWSINGLES-----------QFNL000100----------	S	W	QFNL	000100	1981	2021-09-18 05:20:25	131140		133113		4	1	11-7,11-6,8-11,11-5,11-9
2484	TTEXDOUBLES-----------QFNL000100----------	D	X	QFNL	000100	1442	2021-09-17 13:39:50	136044	114947	131150	133074	3	0	11-7,11-6,14-12
2484	TTEWDOUBLES-----------QFNL000200----------	D	W	QFNL	000200	1388	2021-09-18 04:00:06	133074	133124	123228	133113	0	3	11-13,8-11,11-13
2484	TTEWDOUBLES-----------QFNL000100----------	D	W	QFNL	000100	1324	2021-09-18 03:59:34	114947	118685	131371	131140	3	1	11-9,10-12,11-3,11-3
2484	TTEXDOUBLES-----------QFNL000400----------	D	X	QFNL	000400	2368	2021-09-17 13:40:17	133189	133124	114999	132875	2	3	11-8,8-11,11-9,8-11,10-12
2484	TTEMDOUBLES-----------QFNL000400----------	D	M	QFNL	000400	1469	2021-09-18 04:40:19	117890	137568	113914	107456	3	1	15-13,4-11,11-5,11-2
2484	TTEWDOUBLES-----------QFNL000400----------	D	W	QFNL	000400	1206	2021-09-18 04:02:42	132907	133592	117891	132781	3	0	11-6,11-5,11-9
2484	TTEMSINGLES-----------QFNL000200----------	S	M	QFNL	000200	2836	2021-09-18 08:30:27	136044		100302		3	4	6-11,7-11,11-8,12-10,6-11,11-3,4-11
2484	TTEMDOUBLES-----------QFNL000300----------	D	M	QFNL	000300	1134	2021-09-18 04:40:23	117350	123680	131150	134398	3	0	11-5,11-5,11-8
2484	TTEMSINGLES-----------QFNL000100----------	S	M	QFNL	000100	1777	2021-09-18 08:30:45	117890		113914		4	0	14-12,12-10,11-7,11-5
2484	TTEXDOUBLES-----------QFNL000300----------	D	X	QFNL	000300	1284	2021-09-17 13:40:25	137568	123228	200312	134643	0	3	10-12,6-11,12-14
2484	TTEMSINGLES-----------QFNL000400----------	S	M	QFNL	000400	2767	2021-09-18 09:20:46	117350		107456		2	4	15-13,9-11,11-8,8-11,10-12,3-11
2484	TTEXDOUBLES-----------QFNL000200----------	D	X	QFNL	000200	1036	2021-09-17 13:39:50	121416	133134	119546	200322	0	3	7-11,9-11,3-11
2484	TTEMDOUBLES-----------QFNL000200----------	D	M	QFNL	000200	2134	2021-09-18 04:41:14	137409	117894	116758	123221	2	3	12-10,6-11,11-6,7-11,9-11
2484	TTEXDOUBLES-----------8FNL000700----------	D	X	8FNL	000700	2400	2021-09-17 10:40:00	133189	133124	117894	119545	3	0	11-6,11-5,11-6
2484	TTEXDOUBLES-----------8FNL000800----------	D	X	8FNL	000800	2400	2021-09-17 10:40:00	123230	132781	114999	132875	1	3	8-11,8-11,11-6,7-11
2484	TTEMSINGLES-----------8FNL000800----------	S	M	8FNL	000800	2782	2021-09-17 09:50:03	123386		107456		2	4	9-11,14-12,8-11,12-10,8-11,5-11
2484	TTEMSINGLES-----------8FNL000700----------	S	M	8FNL	000700	2867	2021-09-17 09:53:47	131150		117350		3	4	11-8,11-7,9-11,11-8,5-11,3-11,2-11
2484	TTEWSINGLES-----------8FNL000600----------	S	W	8FNL	000600	2099	2021-09-17 06:19:57	119545		132900		4	1	11-8,11-6,11-5,8-11,11-8
2484	TTEMSINGLES-----------8FNL000100----------	S	M	8FNL	000100	1318	2021-09-17 08:59:54	117890		131997		4	0	11-5,11-8,11-7,11-8
2484	TTEWDOUBLES-----------8FNL000200----------	D	W	8FNL	000200	853	2021-09-17 10:45:52	200320	200321	131371	131140	0	3	3-11,8-11,7-11
2484	TTEXDOUBLES-----------8FNL000100----------	D	X	8FNL	000100	2400	2021-09-17 10:40:00	117890	117891	136044	114947	2	3	11-9,11-8,4-11,9-11,3-11
2484	TTEWDOUBLES-----------8FNL000700----------	D	W	8FNL	000700	1041	2021-09-17 11:20:05	132907	133592	200322	200323	3	0	11-8,11-3,11-4
2484	TTEXDOUBLES-----------8FNL000300----------	D	X	8FNL	000300	2400	2021-09-17 10:40:00	133159	200323	121416	133134	0	3	10-12,8-11,6-11
2484	TTEXDOUBLES-----------8FNL000500----------	D	X	8FNL	000500	2400	2021-09-17 10:40:00	137568	123228	134848	137577	3	1	11-8,11-6,6-11,11-8
2484	TTEMSINGLES-----------8FNL000500----------	S	M	8FNL	000500	2947	2021-09-17 09:50:58	113376		123221		4	3	8-11,12-10,8-11,11-2,9-11,11-4,11-6
2484	TTEWSINGLES-----------8FNL000800----------	S	W	8FNL	000800	2780	2021-09-17 06:11:00	132907		123228		4	2	12-10,6-11,10-12,11-8,11-4,15-13
2484	TTEWSINGLES-----------8FNL000300----------	S	W	8FNL	000300	1776	2021-09-17 05:22:07	133592		132875		4	1	11-9,3-11,11-7,11-5,11-7
2484	TTEMDOUBLES-----------8FNL000700----------	D	M	8FNL	000700	1463	2021-09-17 12:39:23	117890	137568	134848	136044	3	1	10-12,11-6,11-5,11-8
2484	TTEWSINGLES-----------8FNL000400----------	S	W	8FNL	000400	2458	2021-09-17 05:20:26	110686		118685		2	4	11-7,8-11,11-7,7-11,4-11,6-11
2484	TTEMDOUBLES-----------8FNL000400----------	D	M	8FNL	000400	1460	2021-09-17 11:59:50	119546	121416	116758	123221	1	3	12-14,9-11,11-7,5-11
2484	TTEXDOUBLES-----------8FNL000600----------	D	X	8FNL	000600	2400	2021-09-17 10:40:00	134398	200321	200312	134643	1	3	11-6,5-11,12-14,7-11
2484	TTEMSINGLES-----------8FNL000600----------	S	M	8FNL	000600	1590	2021-09-17 09:54:34	123680		134398		4	0	11-5,11-6,11-8,12-10
2484	TTEMDOUBLES-----------8FNL000500----------	D	M	8FNL	000500	1717	2021-09-17 12:39:20	117350	123680	133189	123230	3	1	11-9,11-8,10-12,11-9
2484	TTEWSINGLES-----------8FNL000500----------	S	W	8FNL	000500	2383	2021-09-17 06:08:50	131171		131371		2	4	11-8,7-11,4-11,7-11,11-6,3-11
2484	TTEMDOUBLES-----------8FNL000600----------	D	M	8FNL	000600	1748	2021-09-17 12:40:43	131997	134130	131150	134398	2	3	8-11,11-6,8-11,11-7,5-11
