event_id	doc	fmt	gender	stage	stage_id	duration	start	a_id	b_id	x_id	y_id	res_a	res_x	scores
2893	TTEMSINGLES-----------FNL-000100----------	S	M	FNL	000100	1570	2024-03-21 16:45:00	103126		123682		3	1	6-11,11-7,11-7,11-4
2893	TTEWSINGLES-----------FNL-000100----------	S	W	FNL	000100	1231	2024-03-21 16:10:00	108470		106706		0	3	9-11,5-11,5-11
2893	TTEMDOUBLES-----------FNL-000100----------	D	M	FNL	000100	2031	2024-03-21 15:35:00	131879	123682	107272	112121	1	3	11-5,7-11,11-13,12-14
2893	TTEXDOUBLES-----------FNL-000100----------	D	X	FNL	000100	1797	2024-03-21 11:20:00	123682	123684	131879	131395	1	3	6-11,12-10,6-11,6-11
2893	TTEWDOUBLES-----------FNL-000100----------	D	W	FNL	000100	1521	2024-03-21 15:00:00	115543	123505	116674	120187	3	1	11-1,5-11,11-8,11-6
2893	TTEWDOUBLES-----------SFNL000200----------	D	W	SFNL	000200	1413	2024-03-20 15:05:00	116674	120187	122718	131395	3	0	11-9,11-8,11-5
2893	TTEMSINGLES-----------SFNL000100----------	S	M	SFNL	000100	2024	2024-03-21 10:45:00	101820		103126		1	3	8-11,13-11,8-11,9-11
2893	TTEXDOUBLES-----------SFNL000100----------	D	X	SFNL	000100	1898	2024-03-20 14:30:00	123682	123684	120168	112944	3	2	5-11,11-7,11-5,10-12,11-3
2893	TTEWSINGLES-----------SFNL000200----------	S	W	SFNL	000200	1319	2024-03-21 09:35:00	106706		114105		3	0	11-7,11-9,11-4
2893	TTEMDOUBLES-----------SFNL000100----------	D	M	SFNL	000100	1859	2024-03-20 15:40:00	131879	123682	123386	123680	3	1	11-3,13-11,7-11,11-9
2893	TTEWDOUBLES-----------SFNL000100----------	D	W	SFNL	000100	1523	2024-03-20 15:05:00	115543	123505	134888	119537	3	1	11-4,8-11,12-10,11-3
2893	TTEWSINGLES-----------SFNL000100----------	S	W	SFNL	000100	2100	2024-03-21 09:00:00	115543		108470		1	3	11-8,11-13,6-11,5-11
2893	TTEMSINGLES-----------SFNL000200----------	S	M	SFNL	000200	1707	2024-03-21 10:10:00	123682		121514		3	0	11-9,11-8,12-10
2893	TTEMDOUBLES-----------SFNL000200----------	D	M	SFNL	000200	1119	2024-03-20 15:40:00	201238	121940	107272	112121	0	3	7-11,9-11,10-12
2893	TTEMSINGLES-----------QFNL000100----------	S	M	QFNL	000100	1362	2024-03-20 17:25:00	101820		121693		3	1	10-12,11-5,11-6,11-6
2893	TTEXDOUBLES-----------QFNL000300----------	D	X	QFNL	000300	1780	2024-03-20 08:00:00	137242	134888	123192	120187	3	1	9-11,11-9,11-5,11-6
2893	TTEMDOUBLES-----------QFNL000200----------	D	M	QFNL	000200	750	2024-03-20 10:10:00	123386	123680	123391	114347	3	0	11-7,11-4,11-4
2893	TTEWSINGLES-----------QFNL000300----------	S	W	QFNL	000300	1118	2024-03-20 16:15:00	106706		119537		3	0	11-7,11-5,11-7
2893	TTEWDOUBLES-----------QFNL000100----------	D	W	QFNL	000100	1531	2024-03-20 10:45:00	115543	123505	117035	131171	3	1	11-6,9-11,11-4,11-5
2893	TTEMSINGLES-----------QFNL000200----------	S	M	QFNL	000200	999	2024-03-20 17:25:00	113419		103126		0	3	4-11,3-11,4-11
2893	TTEMDOUBLES-----------QFNL000300----------	D	M	QFNL	000300	1455	2024-03-20 10:10:00	120650	120649	201238	121940	1	3	7-11,7-11,11-9,5-11
2893	TTEXDOUBLES-----------QFNL000100----------	D	X	QFNL	000100	1489	2024-03-20 08:00:00	103126	115920	123682	123684	0	3	6-11,6-11,8-11
2893	TTEWSINGLES-----------QFNL000400----------	S	W	QFNL	000400	932	2024-03-20 16:15:00	145016		114105		0	3	7-11,3-11,5-11
2893	TTEMSINGLES-----------QFNL000300----------	S	M	QFNL	000300	1849	2024-03-20 18:00:00	123682		123680		3	1	8-11,11-3,11-9,11-7
2893	TTEMSINGLES-----------QFNL000400----------	S	M	QFNL	000400	1624	2024-03-20 18:00:00	106814		121514		0	3	5-11,6-11,10-12
2893	TTEWSINGLES-----------QFNL000100----------	S	W	QFNL	000100	1183	2024-03-20 16:50:00	115543		123684		3	0	11-5,11-5,11-4
2893	TTEWDOUBLES-----------QFNL000200----------	D	W	QFNL	000200	1966	2024-03-20 10:45:00	123228	133113	134888	119537	2	3	12-10,5-11,9-11,12-10,6-11
2893	TTEWDOUBLES-----------QFNL000400----------	D	W	QFNL	000400	1710	2024-03-20 10:45:00	133074	133124	122718	131395	1	3	11-9,5-11,12-14,2-9
2893	TTEWSINGLES-----------QFNL000200----------	S	W	QFNL	000200	1942	2024-03-20 16:50:00	123505		108470		1	3	6-11,11-8,8-11,3-11
2893	TTEXDOUBLES-----------QFNL000200----------	D	X	QFNL	000200	1695	2024-03-20 08:00:00	120074	106706	120168	112944	0	3	9-11,12-14,6-11
