event_id	doc	fmt	gender	stage	stage_id	duration	start	a_id	b_id	x_id	y_id	res_a	res_x	scores
2701	TTEMSINGLES-----------FNL-000100----------	S	M	FNL	000100	4788	2023-01-26 14:45:00	117345		131148		0	3	9-11,8-11,13-15
2701	TTEMDOUBLES-----------FNL-000100----------	D	M	FNL	000100	3175	2023-01-26 13:35:00	135888	133848	115546	123690	3	2	7-11,9-11,11-8,11-8,11-4
2701	TTEXDOUBLES-----------FNL-000100----------	D	X	FNL	000100	3818	2023-01-26 09:20:00	137237	135049	135888	119797	3	2	12-10,3-11,11-8,9-11,11-8
2701	TTEWSINGLES-----------FNL-000100----------	S	W	FNL	000100	4430	2023-01-26 14:10:00	135049		119730		1	3	8-11,11-8,7-11,10-12
2701	TTEWDOUBLES-----------FNL-000100----------	D	W	FNL	000100	2474	2023-01-26 13:00:00	123112	135049	119797	123120	1	3	4-11,13-11,6-11,11-13
2701	TTEWSINGLES-----------SFNL000200----------	S	W	SFNL	000200	2328	2023-01-26 07:35:00	123112		119730		0	3	4-11,8-11,5-11
2701	TTEMSINGLES-----------SFNL000100----------	S	M	SFNL	000100	2644	2023-01-26 08:10:00	117345		116620		3	0	16-14,11-8,15-13
2701	TTEXDOUBLES-----------SFNL000200----------	D	X	SFNL	000200	2114	2023-01-25 11:05:00	135888	119797	135019	121040	3	0	11-1,11-7,11-5
2701	TTEWSINGLES-----------SFNL000100----------	S	W	SFNL	000100	3008	2023-01-26 07:00:00	135049		133894		3	2	8-11,11-8,10-12,11-5,11-9
2701	TTEWDOUBLES-----------SFNL000100----------	D	W	SFNL	000100	1637	2023-01-25 13:00:00	123112	135049	133894	119529	3	1	8-11,11-7,11-4,11-7
2701	TTEXDOUBLES-----------SFNL000100----------	D	X	SFNL	000100	2895	2023-01-25 11:05:00	137237	135049	133848	123112	3	0	11-3,11-9,13-11
2701	TTEMDOUBLES-----------SFNL000100----------	D	M	SFNL	000100	1912	2023-01-25 13:35:00	119284	121514	135888	133848	2	3	7-11,6-11,13-11,11-8,6-11
2701	TTEMDOUBLES-----------SFNL000200----------	D	M	SFNL	000200	1778	2023-01-25 13:35:00	115546	123690	137237	135050	3	2	11-4,7-11,11-4,8-11,15-13
2701	TTEMSINGLES-----------SFNL000200----------	S	M	SFNL	000200	2913	2023-01-26 08:45:00	131148		119284		3	1	11-7,13-15,11-7,11-5
2701	TTEWDOUBLES-----------SFNL000200----------	D	W	SFNL	000200	1308	2023-01-25 13:00:00	119797	123120	115543	123505	3	0	11-9,11-3,11-7
2701	TTEWDOUBLES-----------QFNL000300----------	D	W	QFNL	000300	436	2023-01-25 07:35:00	135187	135190	119797	123120	0	3	2-11,4-11,8-11
2701	TTEMDOUBLES-----------QFNL000300----------	D	M	QFNL	000300	673	2023-01-25 08:10:00	135023	134693	115546	123690	2	3	8-11,9-11,11-6,11-4,3-11
2701	TTEWSINGLES-----------QFNL000300----------	S	W	QFNL	000300	1796	2023-01-25 14:45:00	123120		123112		0	3	6-11,5-11,9-11
2701	TTEMDOUBLES-----------QFNL000400----------	D	M	QFNL	000400	1856	2023-01-25 08:10:00	122002	123305	137237	135050	1	3	6-11,15-13,6-11,7-11
2701	TTEMDOUBLES-----------QFNL000100----------	D	M	QFNL	000100	1053	2023-01-25 08:10:00	119284	121514	100329	100189	3	0	11-7,11-2,11-7
