event_id	doc	fmt	gender	stage	stage_id	duration	start	a_id	b_id	x_id	y_id	res_a	res_x	scores
2883	TTEXDOUBLES-----------FNL-000100----------	D	X	FNL	000100	1159	2024-04-17 10:20:00	133813	119089	131912	123575	3	0	11-6,11-8,11-5
2883	TTEWDOUBLES-----------FNL-000100----------	D	W	FNL	000100	2507	2024-04-17 14:30:00	131401	135391	105159	132320	3	2	9-11,11-4,11-13,11-8,11-6
2883	TTEMDOUBLES-----------FNL-000100----------	D	M	FNL	000100	1868	2024-04-17 15:05:00	113931	121031	135367	133813	1	3	11-9,11-13,5-11,9-11
2883	TTEMSINGLES-----------FNL-000100----------	S	M	FNL	000100	1309	2024-04-17 16:15:00	117113		111050		3	0	11-2,11-9,12-10
2883	TTEWSINGLES-----------FNL-000100----------	S	W	FNL	000100	1553	2024-04-17 15:40:00	108470		122052		0	3	5-11,7-11,8-11
2883	TTEWSINGLES-----------SFNL000100----------	S	W	SFNL	000100	2109	2024-04-17 08:00:00	108470		107321		3	0	11-9,15-13,11-6
2883	TTEWDOUBLES-----------SFNL000200----------	D	W	SFNL	000200	1266	2024-04-16 14:30:00	116674	118777	105159	132320	0	3	8-11,9-11,3-11
2883	TTEMDOUBLES-----------SFNL000200----------	D	M	SFNL	000200	2912	2024-04-16 15:05:00	135367	133813	132325	133867	3	2	11-8,11-13,13-11,12-14,12-10
2883	TTEWSINGLES-----------SFNL000200----------	S	W	SFNL	000200	1488	2024-04-17 08:35:00	122052		118777		3	0	11-7,11-8,11-3
2883	TTEXDOUBLES-----------SFNL000100----------	D	X	SFNL	000100	1441	2024-04-16 15:40:00	133813	119089	121869	121714	3	1	7-11,11-7,11-8,11-2
2883	TTEXDOUBLES-----------SFNL000200----------	D	X	SFNL	000200	1152	2024-04-16 15:40:00	131912	123575	120074	106706	3	0	11-9,11-7,11-7
2883	TTEMSINGLES-----------SFNL000200----------	S	M	SFNL	000200	1827	2024-04-17 09:45:00	111050		135019		3	1	11-6,11-9,13-15,11-8
2883	TTEWDOUBLES-----------SFNL000100----------	D	W	SFNL	000100	1859	2024-04-16 14:30:00	131401	135391	112453	113944	3	1	11-5,9-11,11-3,12-10
2883	TTEMDOUBLES-----------SFNL000100----------	D	M	SFNL	000100	1836	2024-04-16 15:05:00	115546	123690	113931	121031	2	3	11-3,5-11,11-8,6-11,8-11
2883	TTEMSINGLES-----------SFNL000100----------	S	M	SFNL	000100	2012	2024-04-17 09:10:00	123971		117113		2	3	8-11,11-3,6-11,11-9,6-11
2883	TTEXDOUBLES-----------QFNL000400----------	D	X	QFNL	000400	1448	2024-04-16 08:00:00	124147	122348	120074	106706	1	3	7-11,11-5,3-11,9-11
2883	TTEWSINGLES-----------QFNL000100----------	S	W	QFNL	000100	2169	2024-04-16 16:15:00	108470		107525		3	1	12-14,11-7,11-9,11-9
2883	TTEWDOUBLES-----------QFNL000100----------	D	W	QFNL	000100	2222	2024-04-16 08:50:00	100868	105913	131401	135391	2	3	9-11,11-3,11-8,7-11,6-11
2883	TTEMSINGLES-----------QFNL000300----------	S	M	QFNL	000300	1562	2024-04-16 16:50:00	111050		115546		3	0	11-8,11-9,11-7
2883	TTEMDOUBLES-----------QFNL000300----------	D	M	QFNL	000300	2295	2024-04-16 09:25:00	135367	133813	115545	115548	3	2	9-11,11-13,11-8,13-11,11-4
2883	TTEMSINGLES-----------QFNL000200----------	S	M	QFNL	000200	1736	2024-04-16 16:50:00	117113		134442		3	1	11-6,3-11,11-6,11-7
2883	TTEWSINGLES-----------QFNL000300----------	S	W	QFNL	000300	2843	2024-04-16 16:15:00	113701		122052		1	3	11-9,7-11,4-11,12-14
2883	TTEWDOUBLES-----------QFNL000200----------	D	W	QFNL	000200	1451	2024-04-16 08:50:00	132318	116152	112453	113944	0	3	7-11,8-11,10-12
2883	TTEWDOUBLES-----------QFNL000400----------	D	W	QFNL	000400	1571	2024-04-16 08:50:00	105159	132320	132756	105779	3	1	10-12,11-6,11-4,11-5
2883	TTEWDOUBLES-----------QFNL000300----------	D	W	QFNL	000300	2150	2024-04-16 08:50:00	116674	118777	123535	131572	3	2	7-11,6-11,11-9,11-6,11-8
2883	TTEMDOUBLES-----------QFNL000100----------	D	M	QFNL	000100	1465	2024-04-16 09:25:00	115546	123690	114717	113329	3	1	7-11,11-6,11-5,11-7
2883	TTEWSINGLES-----------QFNL000400----------	S	W	QFNL	000400	2118	2024-04-16 16:15:00	118777		106706		3	2	9-11,8-11,11-8,11-4,11-8
2883	TTEMSINGLES-----------QFNL000400----------	S	M	QFNL	000400	1681	2024-04-16 16:50:00	123682		135019		1	3	7-11,11-13,11-9,11-13
2883	TTEXDOUBLES-----------QFNL000100----------	D	X	QFNL	000100	1332	2024-04-16 08:00:00	133813	119089	132325	132318	3	0	11-8,12-10,11-8
2883	TTEXDOUBLES-----------QFNL000300----------	D	X	QFNL	000300	2102	2024-04-16 08:00:00	133867	132320	131912	123575	2	3	11-5,9-11,6-11,11-4,8-11
2883	TTEWSINGLES-----------QFNL000200----------	S	W	QFNL	000200	1155	2024-04-16 16:15:00	107321		124165		3	0	11-5,11-3,11-7
2883	TTEMDOUBLES-----------QFNL000400----------	D	M	QFNL	000400	2538	2024-04-16 09:25:00	120850	117113	132325	133867	2	3	11-8,9-11,13-11,10-12,6-11
2883	TTEXDOUBLES-----------QFNL000200----------	D	X	QFNL	000200	1895	2024-04-16 08:00:00	107445	100868	121869	121714	2	3	11-4,9-11,11-9,9-11,4-11
2883	TTEMSINGLES-----------QFNL000100----------	S	M	QFNL	000100	1078	2024-04-16 16:50:00	123971		133813		3	0	12-10,11-8,11-5
