event_id	doc	fmt	gender	stage	stage_id	duration	start	a_id	b_id	x_id	y_id	res_a	res_x	scores
2603	TTEXDOUBLES-----------FNL-000100----------	D	X	FNL	000100	3240	2024-07-26	121558	131163	132881	136607	4	2	11-6,7-11,11-8,11-5,7-11,11-8
2603	TTEWSINGLES-----------FNL-000100----------	S	W	FNL	000100	4200	2024-07-26	131163		112019		2	4	11-4,7-11,4-11,11-9,9-11,6-11
2603	TTEXDOUBLES-----------FNL-000200----------	D	X	FNL	000200	2340	2024-07-26	117357	123977	112620	115543	4	0	11-5,11-7,11-7,14-12
2603	TTEWTEAM--------------FNL-00020003--------	T	W	FNL	00020003	1500	2024-07-26	118994		111849		3	0	11-6,11-6,11-6
2603	TTEWTEAM--------------FNL-00020002--------	T	W	FNL	00020002	1680	2024-07-26	122052		135493		3	0	11-8,11-9,11-2
2603	TTEWTEAM--------------FNL-00020001--------	T	W	FNL	00020001	3060	2024-07-26	123977	118994	118777	111849	3	2	11-6,11-8,8-11,10-12,11-8
2603	TTEMSINGLES-----------FNL-000100----------	S	M	FNL	000100	2940	2024-07-26	122044		121404		1	4	11-7,9-11,9-11,8-11,8-11
2603	TTEMSINGLES-----------FNL-000200----------	S	M	FNL	000200	1860	2024-07-26	115641		135977		0	4	6-11,10-12,7-11,6-11
2603	TTEMTEAM--------------FNL-00010001--------	T	M	FNL	00010001	2760	2024-07-26	105649	121558	116853	104379	3	2	8-11,11-4,11-3,6-11,11-7
2603	TTEMTEAM--------------FNL-00010002--------	T	M	FNL	00010002	3000	2024-07-26	121404		122044		3	2	10-12,11-8,11-9,11-13,11-5
2603	TTEMTEAM--------------FNL-00020003--------	T	M	FNL	00020003	2040	2024-07-26	132992		133694		1	3	8-11,9-11,11-9,9-11
2603	TTEMTEAM--------------FNL-00020004--------	T	M	FNL	00020004	2160	2024-07-26	112062		123980		1	3	8-11,11-8,8-11,12-14
2603	TTEMTEAM--------------FNL-00020005--------	T	M	FNL	00020005	1980	2024-07-26	135977		134442		3	1	11-7,11-7,12-14,13-11
2603	TTEWSINGLES-----------FNL-000200----------	S	W	FNL	000200	4320	2024-07-26	123672		123977		4	2	9-11,13-11,12-10,11-7,10-12,11-7
2603	TTEWTEAM--------------FNL-00010003--------	T	W	FNL	00010003	2820	2024-07-26	121411		136711		3	1	12-14,12-10,11-7,11-6
2603	TTEMTEAM--------------FNL-00010003--------	T	M	FNL	00010003	2700	2024-07-26	121558		104379		3	2	11-9,11-5,10-12,10-12,11-2
2603	TTEMTEAM--------------FNL-00020002--------	T	M	FNL	00020002	2160	2024-07-26	135977		123980		3	2	11-13,11-4,9-11,11-6,12-10
2603	TTEMTEAM--------------FNL-00020001--------	T	M	FNL	00020001	1980	2024-07-26	112062	132992	134442	133694	3	1	11-5,11-7,5-11,11-6
2603	TTEWTEAM--------------FNL-00010002--------	T	W	FNL	00010002	1920	2024-07-26	131163		117820		3	0	13-11,11-6,11-6
2603	TTEWTEAM--------------FNL-00010001--------	T	W	FNL	00010001	3120	2024-07-26	112019	121411	123672	136711	3	2	9-11,11-6,6-11,11-6,12-10
2603	TTEWTEAM--------------SFNL00010003--------	T	W	SFNL	00010003	1320	2024-07-26	121411		118994		3	0	11-3,11-7,11-3
2603	TTEXDOUBLES-----------SFNL000100----------	D	X	SFNL	000100	3720	2024-07-26	121558	131163	117357	123977	4	2	6-11,11-7,9-11,11-5,11-7,11-9
2603	TTEWTEAM--------------SFNL00010001--------	T	W	SFNL	00010001	2160	2024-07-26	112019	121411	123977	118994	3	1	11-4,11-5,9-11,11-9
2603	TTEWTEAM--------------SFNL00010002--------	T	W	SFNL	00010002	1200	2024-07-26	131163		122052		3	0	11-5,11-1,11-3
2603	TTEMTEAM--------------SFNL00020004--------	T	M	SFNL	00020004	1860	2024-07-26	134442		122044		1	3	5-11,6-11,11-5,10-12
2603	TTEMTEAM--------------SFNL00020005--------	T	M	SFNL	00020005	2880	2024-07-26	123980		116853		2	3	11-5,11-5,7-11,7-11,9-11
2603	TTEMTEAM--------------SFNL00020002--------	T	M	SFNL	00020002	2100	2024-07-26	123980		122044		3	1	13-11,9-11,11-5,12-10
2603	TTEMTEAM--------------SFNL00020003--------	T	M	SFNL	00020003	2340	2024-07-26	133694		104379		1	3	11-7,9-11,9-11,5-11
2603	TTEMTEAM--------------SFNL00020001--------	T	M	SFNL	00020001	2340	2024-07-26	134442	133694	116853	104379	3	1	8-11,11-9,11-4,11-7
2603	TTEMSINGLES-----------SFNL000200----------	S	M	SFNL	000200	1860	2024-07-26	135977		121404		0	4	8-11,6-11,7-11,5-11
2603	TTEMSINGLES-----------SFNL000100----------	S	M	SFNL	000100	4080	2024-07-26	122044		115641		4	2	12-10,16-14,7-11,11-7,10-12,11-8
2603	TTEWSINGLES-----------SFNL000200----------	S	W	SFNL	000200	2580	2024-07-26	123977		112019		0	4	7-11,6-11,7-11,7-11
2603	TTEWSINGLES-----------SFNL000100----------	S	W	SFNL	000100	2340	2024-07-26	131163		123672		4	0	11-6,11-8,11-8,11-2
2603	TTEXDOUBLES-----------SFNL000200----------	D	X	SFNL	000200	3780	2024-07-26	112620	115543	132881	136607	3	4	3-11,12-10,11-3,9-11,9-11,11-9,6-11
2603	TTEMTEAM--------------SFNL00010003--------	T	M	SFNL	00010003	1860	2024-07-26	121558		132992		3	1	7-11,11-8,11-9,11-1
2603	TTEMTEAM--------------SFNL00010001--------	T	M	SFNL	00010001	1440	2024-07-26	105649	121558	112062	132992	3	0	13-11,11-5,11-2
2603	TTEWTEAM--------------SFNL00020001--------	T	W	SFNL	00020001	1980	2024-07-26	111849	118777	123672	117820	1	3	3-11,3-11,11-6,8-11
2603	TTEWTEAM--------------SFNL00020002--------	T	W	SFNL	00020002	1500	2024-07-26	135493		136711		3	0	11-9,11-8,11-8
2603	TTEWTEAM--------------SFNL00020003--------	T	W	SFNL	00020003	1680	2024-07-26	118777		117820		0	3	7-11,6-11,9-11
2603	TTEMTEAM--------------SFNL00010002--------	T	M	SFNL	00010002	2580	2024-07-26	121404		135977		3	1	11-3,13-11,8-11,16-14
2603	TTEWTEAM--------------SFNL00020004--------	T	W	SFNL	00020004	1320	2024-07-26	111849		136711		0	3	8-11,5-11,0-11
2603	TTEWTEAM--------------QFNL00010001--------	T	W	QFNL	00010001	1200	2024-07-26	112019	121411	114105	124165	3	0	11-6,11-4,11-7
2603	TTEXDOUBLES-----------QFNL000300----------	D	X	QFNL	000300	3000	2024-07-26	112620	115543	111050	111072	4	2	9-11,11-9,11-4,10-12,11-2,11-8
2603	TTEWTEAM--------------QFNL00020001--------	T	W	QFNL	00020001	1260	2024-07-26	120125	118507	123977	118994	0	3	2-11,7-11,5-11
2603	TTEWTEAM--------------QFNL00020002--------	T	W	QFNL	00020002	2340	2024-07-26	114905		122052		1	3	11-2,4-11,10-12,11-13
2603	TTEWTEAM--------------QFNL00020003--------	T	W	QFNL	00020003	2220	2024-07-26	118507		118994		1	3	11-8,11-13,6-11,7-11
